parent_theme_name,darker_shade_count,total_head_count,unique_darker_elements,unique_elements,pct_darker
Star Wars,664,2506,165,706,26.5
Friends,466,2368,76,330,19.68
Minecraft,174,983,34,219,17.7
Super Heroes Marvel,124,1024,65,416,12.11
Legends of Chima,110,367,30,87,29.97
Disney,106,912,61,360,11.62
LEGO Ideas and CUUSOO,105,493,46,288,21.3
Advent,81,708,42,355,11.44
Ninjago,69,2320,19,479,2.97
Creator,60,535,4,156,11.21
Books,47,581,34,324,8.09
Botanicals,46,89,5,14,51.69
Collectible Minifigures,46,965,47,859,4.77
Icons,43,309,41,207,13.92
Harry Potter,40,922,32,371,4.34
Elves,28,128,11,38,21.88
The Hobbit and Lord of the Rings,28,235,12,82,11.91
Gear,26,399,18,244,6.52
Monkie Kid,26,370,13,115,7.03
Super Heroes DC,26,526,21,243,4.94
Jurassic World,25,193,18,95,12.95
Batman,15,187,12,84,8.02
Juniors,13,192,10,120,6.77
Other,10,215,11,158,4.65
The Lone Ranger,8,30,5,19,26.67
BrickLink Designer Program,7,302,6,90,2.32
Indiana Jones,7,135,3,43,5.19
Architecture,6,30,4,14,20
Classic,6,29,4,10,20.69
Dimensions,6,96,7,81,6.25
LEGO Brand Store,6,227,7,104,2.64
Animal Crossing,5,34,6,28,14.71
City,5,3224,5,339,0.16
Seasonal,5,331,6,141,1.51
Teenage Mutant Ninja Turtles,5,68,6,47,7.35
Dreamzzz,4,163,3,50,2.45
Games,4,76,2,14,5.26
Modular Buildings,4,384,3,79,1.04
The LEGO Movie,4,221,3,124,1.81
Ghostbusters,3,28,4,26,10.71
Monster Fighters,3,68,4,31,4.41
Bionicle,2,70,2,28,2.86
Christmas,2,91,3,40,2.2
Stranger Things,2,8,3,8,25
DC Super Hero Girls,1,20,2,15,5
FIRST LEGO League,1,317,2,88,0.32
Fortnite,1,23,2,18,4.35
Gabby's Dollhouse,1,21,2,8,4.76
Horizon Adventures,1,2,2,2,50
Minions,1,31,2,14,3.23
Overwatch,1,19,2,17,5.26
Spider-Man,1,42,2,20,2.38
The Legend of Zelda,1,13,2,12,7.69
Wicked,1,41,2,21,2.44
Adventurers,0,94,1,15,0
Agents,0,122,1,59,0
Alpha Team,0,49,1,5,0
Aquazone,0,37,1,10,0
Atlantis,0,76,1,20,0
Avatar,0,28,1,25,0
Avatar: The Last Airbender,0,9,1,6,0
Belville,0,99,1,13,0
Bluey,0,15,1,8,0
Boat,0,2,1,1,0
Brickheadz,0,13,1,9,0
Bulk Bricks,0,2,1,2,0
Castle,0,665,1,105,0
Chinese Traditional Festivals,0,226,1,81,0
Despicable Me 4,0,30,1,18,0
Dino,0,23,1,12,0
Dino Attack / Dino 2010,0,22,1,4,0
Educational and Dacta,0,1512,1,76,0
Exo-Force,0,49,1,11,0
Factory,0,12,1,9,0
Freestyle,0,29,1,4,0
Fusion,0,6,1,6,0
Galidor,0,1,1,1,0
Hero Factory,0,31,1,7,0
Hidden Side,0,165,1,74,0
Island Xtreme Stunts,0,7,1,1,0
LEGO Art,0,3,1,1,0
LEGO Exclusive,0,158,1,98,0
Legoland Parks,0,72,1,39,0
Make & Create,0,127,1,46,0
Master Builder Academy,0,20,1,6,0
Mindstorms,0,29,1,10,0
Mixels,0,24,1,2,0
Nexo Knights,0,204,1,60,0
Nike,0,7,1,7,0
Ninja,0,6,1,3,0
One Piece,0,34,1,19,0
Pharaoh's Quest,0,28,1,12,0
Pirates,0,220,1,71,0
Power Miners,0,33,1,7,0
Promotional,0,158,1,72,0
Racers,0,190,1,57,0
Scooby-Doo,0,26,1,18,0
Service Packs,0,2,1,2,0
Sonic The Hedgehog,0,33,1,18,0
Space,0,206,1,81,0
Speed Champions,0,158,1,60,0
Speed Racer,0,16,1,13,0
SpongeBob SquarePants,0,64,1,41,0
Sports,0,180,1,24,0
Studios,0,35,1,11,0
Super Mario,0,42,1,7,0
Technic,0,9,1,3,0
The Powerpuff Girls,0,5,1,5,0
Time Cruisers,0,8,1,2,0
Town,0,296,1,33,0
Toy Story,0,50,1,25,0
Train,0,105,1,5,0
Trolls: World Tour,0,24,1,13,0
Unikitty!,0,2,1,2,0
Universal Building Set,0,23,1,4,0
Universe,0,3,1,3,0
Unknown,0,66,1,40,0
VIDIYO,0,47,1,47,0
Vikings,0,57,1,12,0
Wednesday,0,7,1,6,0
Western,0,4,1,2,0
Xtra,0,7,1,5,0
