set_num,set_name,set_year,parent_theme_name,part_num,part_name,element_id,element_color_name,quantity
fig-000439,,,,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
fig-004708,,,,28621pr3148,"Minifig Head Ghost, with Yellowish Green Face, White Eyes, Lime Eye Shadow, Clown Make Up, Slime Mouth Print",6289322,"Trans-Neon Green",1
fig-005740,,,,3626cpr1134,"Minifig Head Worriz, Dual Sided, Wolf with Yellow Eyes, Black Scars, Fangs, Closed Mouth / Open Mouth Print [Hollow Stud]",6022510,"Light Bluish Gray",1
fig-010065,,,,3626cpr1224,"Minifig Head Knight, Beard, Curved Black Eyebrows, Lopsided Open Grin / Determined Print",6038471,Yellow,1
fig-010065,,,,3626cpr1224,"Minifig Head Knight, Beard, Curved Black Eyebrows, Lopsided Open Grin / Determined Print",6062939,Yellow,1
fig-010725,,,,3626cpr1557,"Minifig Head Bucko / Pirate, Eyepatch, Dark Orange Beard with Messy Hair and Moustache, Gold Teeth Print",6097174,Yellow,1
fig-010741,,,,3626bpr0005,"Minifig Head Biggs Darklighter / Soccer Player, Moustache Pointed with Standard Grin Print",6020409,Yellow,1
fig-011289,,,,3626cpr9858,"Minifig Head, High Eyebrows with Open Mouth / Red Tongue Sticking Out Print",6326180,Yellow,1
fig-011567,,,,3626cpr3416,"Minifig Head Mei, Peach Lips, Dark Turquoise Device on Left Eye / Winking Right Eye Print",6334588,Yellow,1
fig-011582,,,,3626cpr0499,"Minifig Head, Brown Eyebrows, Black Eyes with White Pupils, Crooked Smile with Black Dimple Print",4506998,Yellow,1
fig-012193,,,,3626cpr2967,"Minifig Head Ghost, Slime, Yellow Eyes, Print",6271196,"Trans-Neon Green",1
fig-012193,,,,3626cpr2967,"Minifig Head Ghost, Slime, Yellow Eyes, Print",6300199,"Trans-Neon Green",1
fig-012194,,,,3626cpr9872,"Minifig Head Ghost, Yellowish Green Face, Slime Mouth, Raised Eyebrows, Flames in Back [Hollow Stud]",6273380,"Trans-Neon Green",1
fig-012194,,,,3626cpr9872,"Minifig Head Ghost, Yellowish Green Face, Slime Mouth, Raised Eyebrows, Flames in Back [Hollow Stud]",6300200,"Trans-Neon Green",1
fig-012195,,,,3626cpr2979,"Minifig Head Ghost, Yellowish Green Face, Bushy Eyebrows, Angry, Flames in Back",6273602,"Trans-Neon Green",1
fig-012199,,,,3626cpr2979,"Minifig Head Ghost, Yellowish Green Face, Bushy Eyebrows, Angry, Flames in Back",6273602,"Trans-Neon Green",1
fig-012201,,,,3626cpr9872,"Minifig Head Ghost, Yellowish Green Face, Slime Mouth, Raised Eyebrows, Flames in Back [Hollow Stud]",6273380,"Trans-Neon Green",1
fig-012201,,,,3626cpr9872,"Minifig Head Ghost, Yellowish Green Face, Slime Mouth, Raised Eyebrows, Flames in Back [Hollow Stud]",6300200,"Trans-Neon Green",1
fig-012202,,,,3626cpr3141,"Minifig Head Ghost, with Yellowish Green Face, Glass Eye, Evil Grin, Flames in Back Print",6289267,"Trans-Neon Green",1
fig-012203,,,,3626cpr2967,"Minifig Head Ghost, Slime, Yellow Eyes, Print",6271196,"Trans-Neon Green",1
fig-012203,,,,3626cpr3141,"Minifig Head Ghost, with Yellowish Green Face, Glass Eye, Evil Grin, Flames in Back Print",6289267,"Trans-Neon Green",1
fig-012203,,,,3626cpr2967,"Minifig Head Ghost, Slime, Yellow Eyes, Print",6300199,"Trans-Neon Green",1
fig-012204,,,,3626cpr2967,"Minifig Head Ghost, Slime, Yellow Eyes, Print",6271196,"Trans-Neon Green",1
fig-012204,,,,3626cpr2967,"Minifig Head Ghost, Slime, Yellow Eyes, Print",6300199,"Trans-Neon Green",1
fig-012209,,,,3626cpr9872,"Minifig Head Ghost, Yellowish Green Face, Slime Mouth, Raised Eyebrows, Flames in Back [Hollow Stud]",6273380,"Trans-Neon Green",1
fig-012209,,,,3626cpr9872,"Minifig Head Ghost, Yellowish Green Face, Slime Mouth, Raised Eyebrows, Flames in Back [Hollow Stud]",6300200,"Trans-Neon Green",1
fig-012210,,,,3626cpr2979,"Minifig Head Ghost, Yellowish Green Face, Bushy Eyebrows, Angry, Flames in Back",6273602,"Trans-Neon Green",1
fig-012214,,,,3626cpr3145,"Minifig Head Ghost, with Yellowish Green Face, White Eyes, Lime Goggles, Slime Mouth Print",6289270,"Trans-Neon Green",1
fig-012217,,,,28621pr3246,"Minifig Head Ghost, with Yellowish Green Face, Bushy Eyebrows, Moustache and Flames in Back Print",6324145,"Trans-Neon Green",1
fig-012219,,,,3626cpr1665,"Minifig Head, Glasses with Brown Thin Eyebrows, Smile Print",6112629,Yellow,1
fig-012220,,,,3626cpr3001,"Minifig Head Ghost, with Yellowish Green Face, Bushy Eyebrows, Glasses, Angry and Flames in Back Print",6275659,"Trans-Neon Green",1
fig-012230,,,,3626cpr2979,"Minifig Head Ghost, Yellowish Green Face, Bushy Eyebrows, Angry, Flames in Back",6273602,"Trans-Neon Green",1
fig-012232,,,,3626cpr9865,"Minifig Head Ghost, Yellowish Green Face, Beard, Sideburns, Slime Mouth and Flames in Back Print",6279128,"Trans-Neon Green",1
fig-012232,,,,3626cpr9865,"Minifig Head Ghost, Yellowish Green Face, Beard, Sideburns, Slime Mouth and Flames in Back Print",6300203,"Trans-Neon Green",1
fig-012233,,,,3626cpr2979,"Minifig Head Ghost, Yellowish Green Face, Bushy Eyebrows, Angry, Flames in Back",6273602,"Trans-Neon Green",1
fig-012236,,,,3626cpr2967,"Minifig Head Ghost, Slime, Yellow Eyes, Print",6271196,"Trans-Neon Green",1
fig-012236,,,,3626cpr2967,"Minifig Head Ghost, Slime, Yellow Eyes, Print",6300199,"Trans-Neon Green",1
fig-012238,,,,3626cpr9872,"Minifig Head Ghost, Yellowish Green Face, Slime Mouth, Raised Eyebrows, Flames in Back [Hollow Stud]",6273380,"Trans-Neon Green",1
fig-012238,,,,3626cpr9872,"Minifig Head Ghost, Yellowish Green Face, Slime Mouth, Raised Eyebrows, Flames in Back [Hollow Stud]",6300200,"Trans-Neon Green",1
fig-012243,,,,28621pr3143,"Minifig Head Ghost, with Yellowish Green Face, White Eyes, Clown Make Up, Slime Mouth Print",6289316,"Trans-Neon Green",1
fig-012246,,,,3626cpr3133,"Minifig Head Ghost, with Yellowish Green Face, Yellow Eyes, Open Mouth Print",6289311,"Trans-Neon Green",1
fig-012247,,,,3626cpr3020,"Minifig Head Ghost, with Yellowish Green Face, Glasses, Angry and Flames in Back Print",6279129,"Trans-Neon Green",1
fig-012457,,,,3626cpr1785,"Minifig Head Bot, Yellow Robot Eyes, Mask with Metal Bolts, Closed Mouth / Open Mouth Print",6125244,"Flat Silver",1
fig-012476,,,,3626cpr9924,"Minifig Head Snowman, Coal Eyes, Carrot Nose, Coal Mouth",6231960,White,1
fig-012549,,,,3626c,"Minifig Head Plain [Hollow Stud]",362601,White,1
fig-012549,,,,3626c,"Minifig Head Plain [Hollow Stud]",4586866,White,1
fig-012549,,,,3626c,"Minifig Head Plain [Hollow Stud]",6015872,White,1
fig-012550,,,,3626c,"Minifig Head Plain [Hollow Stud]",362601,White,1
fig-012550,,,,3626c,"Minifig Head Plain [Hollow Stud]",4586866,White,1
fig-012550,,,,3626c,"Minifig Head Plain [Hollow Stud]",6015872,White,1
fig-012551,,,,3626c,"Minifig Head Plain [Hollow Stud]",362601,White,1
fig-012551,,,,3626c,"Minifig Head Plain [Hollow Stud]",4586866,White,1
fig-012551,,,,3626c,"Minifig Head Plain [Hollow Stud]",6015872,White,1
fig-012553,,,,3626c,"Minifig Head Plain [Hollow Stud]",362601,White,1
fig-012553,,,,3626c,"Minifig Head Plain [Hollow Stud]",4586866,White,1
fig-012553,,,,3626c,"Minifig Head Plain [Hollow Stud]",6015872,White,1
fig-012560,,,,3626c,"Minifig Head Plain [Hollow Stud]",4621352,"Pearl Gold",1
fig-012560,,,,3626c,"Minifig Head Plain [Hollow Stud]",6029591,"Pearl Gold",1
fig-013203,,,,3626bpr0513,"Minifig Head Rebel Trooper / Imperial Trooper, Brown Eyebrows and Black Chin Strap Print",4520588,"Light Nougat",1
fig-013615,,,,3626cpr3941,"Minifig Head Frodo, Reddish Brown Eyebrows, Smile / White Eyes Scared print",6421827,"Light Nougat",1
fig-013617,,,,3626cpr3939,"Minifig Head Bilbo, Dark Bluish Grey Eyebrows, Wrinkles, Neutral, Closed Mouth/Open Mouth Scream/Hiss, Tan Teeth print",6421819,"Light Nougat",1
fig-013618,,,,3626cpr2623,"Minifig Head, Grey Eyebrows, Crows Feet, Stern Determined Print",6227597,"Light Nougat",1
fig-013619,,,,3626cpr3942,"Minifig Head Elrond, Silver Tiara/Crown, Dark Brown Eyebrows, Cheeklines, Stern Smirk/Smile print",6421824,"Light Nougat",1
fig-015676,,,,3626cpr1091,"Minifig Head Buffer / Pirate / Knight, Stubble, Eyebrows and Scowl Print [Hollow Stud]",6018687,Yellow,1
fig-016508,,,,19729pr0004,"Minifig Head Special, Cube with Enderman Face Print",6103093,Black,1
fig-016508,,,,19729pr0004,"Minifig Head Special, Cube with Enderman Face Print",6162466,Black,1
6251-1,"Pirate Mini Figures",1989,Pirates,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
6270-1,"Forbidden Island",1989,Pirates,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,3
6034-1,"Black Monarch's Ghost",1990,Castle,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
725-1,"Basic Building Set",1990,"Universal Building Set",3626b,"Minifig Head Plain [Blocked Open Stud]",3001144,Trans-Yellow,2
725-1,"Basic Building Set",1990,"Universal Building Set",3626b,"Minifig Head Plain [Blocked Open Stud]",4190214,Trans-Yellow,2
9361-1,People,1991,"Educational and Dacta",3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,12
1479-1,"2-Pilot Craft",1991,Space,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
6812-1,"Grid Trekkor",1991,Space,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
6832-1,"Super Nova II",1991,Space,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
6851-1,"Tri-Wheeled Tyrax",1991,Space,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
6878-1,"Sub Orbital Guardian",1991,Space,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
6887-1,"Allied Avenger",1991,Space,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
6933-1,"Spectral Starguider",1991,Space,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
6981-1,"Aerial Intruder",1991,Space,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
6988-1,"Alpha Centauri Outpost",1991,Space,3626bpr0001,"Minifig Head Standard Grin Print [Blocked Open Stud]",6020398,Yellow,1
