year,parent_theme_id,parent_theme_name,num_sets
1955,497,Books,1
1956,497,Books,1
1959,301,Other,1
1960,365,System,1
1960,497,Books,1
1960,507,"Educational and Dacta",1
1961,497,Books,1
1961,507,"Educational and Dacta",1
1963,507,"Educational and Dacta",1
1965,301,Other,1
1965,507,"Educational and Dacta",1
1966,501,Gear,1
1967,497,Books,1
1967,501,Gear,1
1968,497,Books,1
1969,497,Books,1
1969,507,"Educational and Dacta",1
1970,497,Books,1
1971,233,Train,1
1972,405,Homemaker,1
1972,504,Duplo,1
1973,497,Books,1
1973,507,"Educational and Dacta",1
1974,363,Boat,1
1974,501,Gear,1
1975,465,"Universal Building Set",1
1975,497,Books,1
1976,433,Minitalia,1
1976,598,Promotional,1
1977,206,Seasonal,1
1977,433,Minitalia,1
1978,186,Castle,1
1978,206,Seasonal,1
1978,404,"Hobby Sets",1
1978,443,"Service Packs",1
1978,501,Gear,1
1979,443,"Service Packs",1
1980,405,Homemaker,1
1981,598,Promotional,1
1982,405,Homemaker,1
1982,497,Books,1
1983,186,Castle,1
1983,443,"Service Packs",1
1983,497,Books,1
1984,507,"Educational and Dacta",1
1985,206,Seasonal,1
1985,497,Books,1
1986,501,Gear,1
1986,598,Promotional,1
1987,1,Technic,1
1988,559,"Value Packs",1
1989,524,"Service Packs",1
1989,559,"Value Packs",1
1990,206,Seasonal,1
1990,278,"Model Team",1
1990,497,Books,1
1990,559,"Value Packs",1
1991,186,Castle,1
1991,278,"Model Team",1
1991,497,Books,1
1991,501,Gear,1
1991,559,"Value Packs",1
1991,598,Promotional,1
1992,408,"LEGO Brand Store",1
1992,559,"Value Packs",1
1993,559,"Value Packs",1
1993,598,Promotional,1
1994,278,"Model Team",1
1995,206,Seasonal,1
1995,278,"Model Team",1
1995,501,Gear,1
1996,278,"Model Team",1
1996,524,"Service Packs",1
1996,559,"Value Packs",1
1997,233,Train,1
1997,408,"LEGO Brand Store",1
1997,497,Books,1
1998,112,Racers,1
1998,206,Seasonal,1
1998,207,Advent,1
1998,278,"Model Team",1
1999,22,Creator,1
1999,307,Aquazone,1
1999,559,"Value Packs",1
2000,22,Creator,1
2000,126,Space,1
2000,301,Other,1
2000,398,"FIRST LEGO League",1
2000,443,"Service Packs",1
2000,559,"Value Packs",1
2001,186,Castle,1
2001,207,Advent,1
2001,276,Sculptures,1
2001,296,Adventurers,1
2001,398,"FIRST LEGO League",1
2001,425,"Legoland Parks",1
2002,147,Pirates,1
2002,207,Advent,1
2002,258,Mindstorms,1
2002,398,"FIRST LEGO League",1
2002,465,"Universal Building Set",1
2002,497,Books,1
2002,598,Promotional,1
2003,186,Castle,1
2003,207,Advent,1
2003,227,Christmas,1
2003,304,"Alpha Team",1
2003,398,"FIRST LEGO League",1
2003,404,"Hobby Sets",1
2003,598,Promotional,1
2004,52,City,1
2004,278,"Model Team",1
2004,398,"FIRST LEGO League",1
2005,233,Train,1
2005,254,"Bulk Bricks",1
2005,398,"FIRST LEGO League",1
2005,441,Quatro,1
2005,518,Mindstorms,1
2005,599,"LEGO Exclusive",1
2005,696,"Super Heroes Marvel",1
2006,207,Advent,1
2006,398,"FIRST LEGO League",1
2006,697,Batman,1
2007,206,Seasonal,1
2007,233,Train,1
2007,246,"Harry Potter",1
2007,301,Other,1
2007,397,Factory,1
2007,398,"FIRST LEGO League",1
2007,458,Sports,1
2007,599,"LEGO Exclusive",1
2008,50,Town,1
2008,155,"Modular Buildings",1
2008,206,Seasonal,1
2008,301,Other,1
2008,398,"FIRST LEGO League",1
2008,535,"Collectible Minifigures",1
2008,599,"LEGO Exclusive",1
2009,155,"Modular Buildings",1
2009,227,Christmas,1
2009,233,Train,1
2009,389,Exo-Force,1
2009,398,"FIRST LEGO League",1
2009,443,"Service Packs",1
2010,147,Pirates,1
2010,155,"Modular Buildings",1
2010,398,"FIRST LEGO League",1
2010,425,"Legoland Parks",1
2010,443,"Service Packs",1
2010,559,"Value Packs",1
2011,155,"Modular Buildings",1
2011,398,"FIRST LEGO League",1
2011,576,"LEGO Ideas and CUUSOO",1
2012,227,Christmas,1
2012,398,"FIRST LEGO League",1
2012,443,"Service Packs",1
2012,598,Promotional,1
2013,147,Pirates,1
2013,155,"Modular Buildings",1
2013,443,"Service Packs",1
2013,576,"LEGO Ideas and CUUSOO",1
2013,591,Juniors,1
2014,126,Space,1
2014,155,"Modular Buildings",1
2014,398,"FIRST LEGO League",1
2014,697,Batman,1
2015,126,Space,1
2015,155,"Modular Buildings",1
2015,227,Christmas,1
2015,518,Mindstorms,1
2016,155,"Modular Buildings",1
2016,186,Castle,1
2016,276,Sculptures,1
2016,425,"Legoland Parks",1
2016,603,Scooby-Doo,1
2017,155,"Modular Buildings",1
2017,598,Promotional,1
2018,155,"Modular Buildings",1
2018,438,"Power Functions",1
2018,578,"The LEGO Movie",1
2018,686,"Chinese Traditional Festivals",1
2019,155,"Modular Buildings",1
2019,697,Batman,1
2020,155,"Modular Buildings",1
2020,227,Christmas,1
2020,697,Batman,1
2021,155,"Modular Buildings",1
2021,227,Christmas,1
2021,252,Architecture,1
2021,258,Mindstorms,1
2021,425,"Legoland Parks",1
2021,697,Batman,1
2022,155,"Modular Buildings",1
2022,227,Christmas,1
2022,425,"Legoland Parks",1
2023,227,Christmas,1
2023,252,Architecture,1
2023,438,"Power Functions",1
2023,697,Batman,1
2023,766,Fortnite,1
2024,252,Architecture,1
2024,425,"Legoland Parks",1
2024,688,DOTS,1
2024,764,"The Legend of Zelda",1
2025,147,Pirates,1
2025,155,"Modular Buildings",1
2025,227,Christmas,1
2025,425,"Legoland Parks",1
2025,474,Vikings,1
2025,770,"Horizon Adventures",1
2026,601,"Speed Champions",1
year,,,1
1962,497,Books,2
1963,301,Other,2
1964,497,Books,2
1969,504,Duplo,2
1970,504,Duplo,2
1971,405,Homemaker,2
1972,507,"Educational and Dacta",2
1976,363,Boat,2
1979,465,"Universal Building Set",2
1980,497,Books,2
1981,233,Train,2
1982,507,"Educational and Dacta",2
1982,598,Promotional,2
1984,501,Gear,2
1986,206,Seasonal,2
1986,497,Books,2
1987,598,Promotional,2
1988,598,Promotional,2
1992,206,Seasonal,2
1993,278,"Model Team",2
1994,559,"Value Packs",2
1995,233,Train,2
1996,258,Mindstorms,2
1996,598,Promotional,2
1997,278,"Model Team",2
1997,529,Technic,2
1998,233,Train,2
1999,278,"Model Team",2
1999,518,Mindstorms,2
1999,598,Promotional,2
2000,276,Sculptures,2
2000,425,"Legoland Parks",2
2000,754,Disney,2
